FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
23188,2021,AGOSTO,2021-08-03,MARTES,18:00:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,JARDINES DE ANAHUAC,AVENIDA,DIEGO DIAZ DE BERLANGA Y JUAN PABLO II,"25.725382,-100.277801"
26143,2021,NOVIEMBRE,2021-11-25,JUEVES,10:47:00,ESTRELLAMIENTO,PERITAJES,RUTINA,COLONIA,VALLE DEL NOGALAR,AVENIDA,LOPEZ MATEOS Y NOGALAR,"25.711209,-100.277666"
22449,2021,AGOSTO,2021-08-03,MARTES,18:30:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y  FRAY LUIS  DE LEON,"25.730775,-100.309218"
26541,2021,NOVIEMBRE,2021-11-25,JUEVES,11:20:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ESTACION RAMON TREVIÑO,AVENIDA,MANUEL L. BARRAGAN  DE NTE  A SUR   JUAN PABLO II,"25.752522,-100.30872"
23096,2021,AGOSTO,2021-08-03,MARTES,20:20:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CHAPULTEPEC,AVENIDA,UNIVERSIDAD Y CENTRAL,"25.740168,-100.302396"
26558,2021,NOVIEMBRE,2021-11-25,JUEVES,12:40:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,EL ROBLE,AVENIDA,UNIVERSIDAD Y FRAY BARTOLOME,"25.746297,-100.300455"
21924,2021,AGOSTO,2021-08-04,MIÉRCOLES,07:53:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,RINCON DE ORIENTE,AVENIDA,LOPEZ MATEOS Y PRIVADA LOPEZ MATEOS,"25.727675,-100.255866"
26600,2021,NOVIEMBRE,2021-11-25,JUEVES,13:50:00,LATERAL,FINIQUITADO,911,COLONIA,AQUILES SERDAN,AVENIDA,DIEGO DIAZ Y TLACHICUERIAS,"25.751509,-100.253936"
23043,2021,AGOSTO,2021-08-04,MIÉRCOLES,11:10:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CABECERA MUNICIPAL,CALLE,HIDALGO Y JUAREZ,"25.755351,-100.289925"
25098,2021,NOVIEMBRE,2021-11-25,JUEVES,15:11:00,ALCANCE,FINIQUITADO,911,COLONIA,BALCONES DE ANAHUAC,AVENIDA,SENDERO Y BALCONES DE ANAHUAC,"25.764461,-100.315522"
